Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,%AR Jugo,Lluvias (2 Meses Ant.)
1.0,1.2,13.997439,1.413816,16.558,11.7736,12.1498,13.1037,0.6151,214.0
1.0,1.0,14.362651,1.41409,17.2576,11.416,11.5632,12.6583,0.6161,177.0
1.0,1.1,10.358059,0.998769,14.9533,11.3124,11.7944,12.5596,0.5406,116.0
1.0,0.0,12.321722,1.155271,0.0,11.0744,11.6158,12.4942,0.7259,175.0
1.0,1.2,14.651561,1.486889,17.9888,11.7735,12.1748,12.9692,0.473,120.0
1.0,0.0,14.853811,1.396128,17.0653,11.073,11.4341,12.508,0.8103,205.0
1.0,0.0,16.127233,1.447128,14.4191,10.532,10.706,12.085,0.93,155.0
1.0,0.0,20.338749,1.790467,0.0,10.3822,10.9757,11.5761,0.538,0.0
1.0,0.0,8.688641,0.943487,17.9858,12.5259,12.8847,13.8126,0.5662,215.0
1.0,0.0,12.581239,1.297852,15.7561,11.907,12.3228,13.1815,0.5916,0.0
1.0,2.0,12.257195,1.237196,0.0,11.7641,12.0857,13.0106,0.5429,0.0
1.0,1.2,11.825506,1.156488,15.7739,11.3591,11.5609,12.6501,0.6341,120.0
1.0,0.0,11.559089,1.079624,16.167,10.95,13.0494,12.43,0.7,155.0
1.0,0.0,8.680705,0.744567,0.0,10.2287,10.797,11.5185,0.72,105.0
1.0,0.0,14.619555,1.172695,15.1508,9.5481,9.7058,10.855,0.6963,271.0
1.0,1.2,10.898522,1.223505,15.0835,12.8868,13.6347,14.0948,0.5127,148.0
1.0,0.0,10.990556,1.150714,0.0,12.03,13.0494,13.57,0.7,104.0
1.0,0.0,10.059891,1.05327,17.0059,12.03,13.0494,13.57,0.7,104.0
1.0,0.0,10.454087,1.073383,17.2603,11.9041,12.1721,13.2219,0.6521,205.0
1.0,1.2,10.886159,1.085991,16.4596,11.6067,12.425,12.7869,0.537,148.0
1.0,1.2,14.916295,1.450876,16.4786,11.274,12.21,12.433,0.553,252.0
1.0,0.0,14.195753,1.337806,16.301,11.0568,11.5766,12.2982,0.6194,120.0
1.0,0.0,7.009661,0.611222,0.0,10.272,10.405,11.419,0.57,105.0
1.0,0.0,7.755517,0.657202,0.0,10.071,10.955,11.32,0.69,105.0
1.0,0.0,11.659553,1.214925,15.8302,11.96,13.0494,13.37,0.7,174.0
1.0,0.0,12.31221,1.255599,17.7652,11.7858,12.527,13.0434,0.6182,143.0
1.0,0.8,10.050278,1.022365,0.0,11.7774,12.3085,12.8993,0.4546,0.0
