Dist Km,Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,%Sac.Muestreadora,%ATR,%AR Jugo,%ME Veg,%ME Tot,Lluvias (2 Meses Ant.),Lluvias tres a seis,Lluvias seis a nueve
9.5,1.0,0.0,8.533389,0.859051,11.8324,12.3872,0.6135,12.6917,13.4326,393.0,152.0,685.0
9.5,1.0,1.0,6.803629,0.686409,11.376,12.3705,0.7,7.984,9.435,464.0,287.0,165.0
10.1,1.0,1.0,9.470891,0.891756,12.085,11.413,0.47,11.796,11.796,217.0,262.0,245.0
24.1,1.0,0.0,12.978411,1.214301,11.6583,11.6609,0.6682,6.9297,7.2204,0.0,0.0,190.0
24.1,1.0,0.0,8.660317,0.90315,12.925,12.65,0.645,8.195,8.416,0.0,12.0,178.0
7.5,1.0,1.5,11.161951,1.049743,11.5778,11.6738,0.7412,8.9776,11.4438,267.0,181.0,463.0
10.1,1.0,1.0,9.725528,0.971315,11.7063,12.1686,0.5143,7.9971,9.3006,224.0,336.0,132.0
7.4,1.0,0.0,3.724729,0.369161,11.3085,12.1198,0.5764,9.086,11.4057,0.0,0.0,0.0
24.1,1.0,0.0,12.917763,1.14508,10.7183,11.2139,0.6729,8.5834,8.6794,0.0,0.0,12.0
4.5,1.0,0.0,13.039583,1.326228,12.2416,12.8874,0.5758,9.7078,10.26,207.0,109.0,461.0
12.0,1.0,0.0,13.91306,1.476105,12.4126,13.6536,0.8409,9.7448,13.4025,253.0,179.0,244.0
9.5,1.0,1.5,10.096929,0.920533,11.4123,11.6099,0.8477,10.1962,10.4057,351.0,273.0,473.0
9.5,1.0,1.0,6.460607,0.690829,12.898,13.3139,0.39,7.757,8.082,288.0,374.0,200.0
9.5,1.0,1.0,6.557913,0.713683,12.137,13.2418,0.523,10.941,11.379,420.0,287.0,185.0
17.0,1.0,1.0,9.801668,1.068317,13.337,13.796,0.57,8.051,8.164,156.0,190.0,204.0
17.0,1.0,1.0,8.972729,0.818186,11.1444,12.355,1.3599,5.107,5.1278,156.0,216.0,209.0
29.1,1.0,0.0,10.638098,0.923386,12.58285,12.19,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
4.5,1.0,1.2,10.268242,1.019227,12.086,12.353,0.42,7.739,8.453,203.0,241.0,328.0
7.5,1.0,1.2,10.207388,1.007093,12.1135,12.8253,0.7807,7.3457,7.735,268.0,100.0,388.0
32.5,1.0,0.0,13.955648,1.29927,12.58285,12.26,0.829615549662488,0.0,11.0,195.0,214.0,265.0
13.3,1.0,1.0,8.954745,0.870751,11.4762,12.1664,0.7389,9.0592,9.3736,264.0,294.0,282.0
15.2,1.0,2.0,12.332118,1.355589,13.3887,13.9848,0.5858,8.2377,8.2909,199.0,304.0,143.0
17.0,1.0,1.0,9.19817,0.863294,11.6224,12.9035,1.0676,6.6282,7.43,156.0,167.0,286.0
32.8,1.0,0.0,14.990637,1.416616,12.58285,12.61,0.829615549662488,8.1407,8.728247772511848,0.0,152.0,69.0
7.4,1.0,0.0,5.935956,0.560177,11.313,12.8184,1.0725,8.59,8.59,0.0,0.0,0.0
15.2,1.0,1.0,10.156123,1.170265,13.5566,14.393,0.5256,6.9613,7.6807,199.0,240.0,216.0
18.2,1.0,1.8,11.474322,1.227119,12.9282,13.7165,0.6186,5.8891,7.8941,153.0,235.0,222.0
34.6,1.0,0.8,9.769571,1.156026,13.842,14.7573,0.55,8.549,10.826,0.0,0.0,0.0
9.2,1.0,0.0,7.665615,0.915185,13.98,15.3223,0.76,7.739,7.846,0.0,0.0,0.0
26.0,1.0,0.8,10.173077,1.142034,13.2581,14.012,0.5564,7.7838,9.338,60.0,64.0,83.0
26.0,1.0,0.8,11.107417,1.238924,13.0212,13.895,0.4796,5.813,6.8516,60.0,64.0,83.0
7.4,1.0,0.0,4.53798,0.520113,13.2371,14.3006,0.5191,8.4199,10.5446,0.0,0.0,0.0
21.0,1.0,0.8,12.932661,1.472556,13.6944,14.0128,0.4094,7.8257,7.8416,0.0,0.0,0.0
23.5,1.0,0.8,10.197982,1.117289,13.0985,13.7621,0.5356,6.481,6.611,115.0,190.0,4.0
4.5,1.0,0.0,12.213838,1.19349,12.343,12.9041,0.745,9.341,9.437,203.0,109.0,461.0
19.1,1.0,0.0,11.578431,0.0,0.0,13.420150826067003,0.829615549662488,8.1407,8.728247772511848,211.0,254.0,193.0
21.0,1.0,0.8,12.454434,1.515201,13.9336,14.7911,0.4839,7.9704,9.4654,0.0,0.0,0.0
27.0,1.0,0.8,11.95518,1.42909,13.7946,14.3736,0.3789,8.1119,8.5433,62.0,139.0,114.0
9.2,1.0,0.0,7.762342,0.881998,13.2301,14.3672,0.8012,7.6496,7.7532,0.0,0.0,0.0
23.5,1.0,0.5,7.32133,0.843905,13.3699,14.1625,0.5078,8.536,8.8449,0.0,0.0,0.0
34.6,1.0,0.8,10.632118,1.268046,13.8797,14.5046,0.4542,7.6041,7.8762,0.0,0.0,0.0
34.6,1.0,0.8,8.800243,1.035421,13.2948,14.4866,0.5879,8.3422,8.3932,0.0,0.0,0.0
6.5,1.0,0.8,10.492908,1.165546,13.117,13.932,0.76,9.905,10.186,168.0,307.0,136.0
10.4,1.0,0.0,6.157547,0.674772,12.7186,13.9917,0.7738,3.6358,3.6358,0.0,0.0,0.0
23.5,1.0,0.5,9.760976,1.115513,13.177,14.0654,0.5451,9.282,9.581,0.0,0.0,0.0
29.4,1.0,0.8,12.107475,1.348275,12.9004,13.7828,0.5776,8.237,8.661,157.0,169.0,79.0
9.0,1.0,0.0,6.506363,0.608994,12.58285,12.65,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
27.0,1.0,0.8,11.498056,1.301457,12.838,13.7554,0.457,8.187,8.955,55.0,49.0,127.0
6.5,1.0,0.8,8.838663,1.090015,14.1336,14.8827,0.4663,8.4953,8.842,168.0,307.0,136.0
29.4,1.0,0.0,10.652889,1.437422,14.9613,16.1426,0.4421,9.305,9.7303,145.0,46.0,146.0
10.4,1.0,0.0,9.365953,0.961678,12.205,13.001,0.655,3.558,4.613,0.0,0.0,0.0
23.5,1.0,0.8,10.527466,1.209262,13.3913,13.9757,0.4809,7.3887,7.6535,97.0,163.0,16.0
4.5,1.0,0.0,12.389691,0.0,0.0,13.420150826067003,0.829615549662488,8.1407,8.728247772511848,186.0,198.0,326.0
23.9,1.0,0.8,8.929331,1.138287,14.6343,15.2765,0.409,8.403,8.5707,110.0,363.0,86.0
15.2,1.0,2.0,12.215052,1.37538,12.9515,14.0024,0.6166,7.434,7.6673,190.0,304.0,143.0
32.7,1.0,1.0,10.785903,1.2298,13.3632,14.361,0.7083,4.9386,5.4137,163.0,260.0,243.0
21.2,1.0,1.0,10.299717,1.216773,13.7803,14.473,0.5026,8.147,8.5134,114.0,221.0,108.0
21.0,1.0,0.8,12.50183,1.498248,13.7355,14.6313,0.5353,7.4059,7.581,0.0,0.0,0.0
5.3,1.0,0.8,9.068016,1.0995,13.431,14.812,0.48,7.233,7.306,159.0,357.0,69.0
29.4,1.0,0.8,11.078202,1.396955,14.3028,15.1731,0.4486,7.9695,8.0486,120.0,214.0,73.0
7.5,1.0,0.0,7.933888,0.898116,12.58285,14.39,0.829615549662488,8.1407,8.728247772511848,249.0,676.0,163.0
8.5,1.0,0.0,8.898789,0.889878,12.58285,13.4,0.829615549662488,8.1407,8.728247772511848,279.0,416.0,176.0
14.0,1.0,0.8,7.702774,0.965854,14.2502,15.175,0.511,6.9924,7.1108,0.0,0.0,0.0
32.5,1.0,0.0,13.992378,1.266311,12.58285,12.22,0.829615549662488,0.0,10.0,201.0,202.0,269.0
32.5,1.0,0.0,14.563357,1.246614,12.58285,11.55,0.829615549662488,0.0,10.2,183.0,210.0,237.0
22.1,1.0,0.8,6.707743,0.753507,13.0206,13.8952,0.4961,7.8651,7.8651,61.0,70.0,377.0
9.2,1.0,0.0,6.38349,0.733229,13.1826,14.2554,0.6468,8.2366,8.263,0.0,0.0,0.0
10.8,1.0,0.0,6.85642,0.814648,13.5793,14.7689,0.619,4.2788,4.3558,0.0,0.0,0.0
29.1,1.0,0.0,9.061304,1.158938,12.58285,11.15,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
21.9,1.0,1.2,11.018006,1.223577,13.0436,13.7638,0.5456,7.5736,7.7706,2.0,343.0,51.0
27.1,1.0,0.8,8.420445,0.979475,13.8693,14.2143,0.4604,7.9692,8.3845,0.0,0.0,0.0
23.5,1.0,0.5,11.137869,1.236797,12.9168,13.9585,0.619,8.0117,8.1745,0.0,0.0,0.0
5.3,1.0,0.8,9.290209,1.048717,13.353,13.927,0.56,8.841,10.109,169.0,121.0,283.0
6.5,1.0,0.8,11.320481,1.221253,13.1419,13.4043,0.5324,9.1582,9.4221,183.0,105.0,340.0
12.3,1.0,1.0,8.07097,0.961682,14.5527,14.3606,0.3516,6.5529,6.8348,106.0,415.0,84.0
23.5,1.0,0.8,10.441786,1.225367,14.0092,14.2967,0.4362,7.6711,7.8966,105.0,163.0,16.0
10.4,1.0,0.0,7.30018,0.746084,12.58285,13.18,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
10.8,1.0,0.0,6.913356,0.735584,12.58285,13.83,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
14.0,1.0,0.8,8.857393,1.031056,13.9565,14.1693,0.4396,7.5312,7.7062,0.0,0.0,0.0
15.2,1.0,1.0,10.069622,1.186889,13.7863,14.3895,0.4615,7.7019,8.1943,193.0,243.0,213.0
5.3,1.0,0.0,12.702385,1.193727,11.2288,12.5668,0.9586,9.3884,9.7048,169.0,153.0,268.0
23.0,1.0,1.0,9.70177,1.227014,13.976,15.2374,0.435,7.271,9.882,103.0,316.0,60.0
10.0,1.0,0.0,9.607049,1.114276,12.673,14.412,0.66,6.595,7.438,64.0,176.0,185.0
10.4,1.0,0.0,11.837993,1.171959,12.58285,12.98,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
14.0,1.0,0.8,8.468186,1.032631,13.9734,14.7623,0.4235,7.5533,7.6786,0.0,0.0,0.0
10.1,1.0,1.2,11.985073,1.261864,11.9228,13.1946,0.5576,7.7267,8.0649,360.0,481.0,447.0
10.8,1.0,0.0,9.357404,0.826261,12.58285,12.0,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
14.0,1.0,0.5,6.730736,0.781031,13.442,14.2477,0.365,8.441,8.516,0.0,0.0,0.0
14.0,1.0,0.5,6.391902,0.80269,14.0124,15.0416,0.3536,7.4268,7.6873,0.0,0.0,0.0
23.5,1.0,0.0,10.933366,1.207704,12.6498,13.8677,0.5264,9.2479,9.5297,0.0,269.0,255.0
30.0,1.0,0.8,10.858985,1.15334,12.1457,13.2112,0.4105,8.1988,8.5488,183.0,347.0,247.0
14.0,1.0,0.8,7.76028,0.928016,12.8698,14.642,0.4728,6.2433,6.3486,0.0,0.0,0.0
5.5,1.0,0.0,10.860753,0.0,0.0,13.420150826067003,0.829615549662488,8.1407,8.728247772511848,222.0,198.0,326.0
18.9,1.0,0.0,14.154501,1.369269,11.2587,12.5658,0.7634,7.4539,7.7108,0.0,55.0,0.0
15.2,1.0,0.8,10.66904,1.055811,11.2398,12.7808,0.76,7.9613,8.5591,172.0,315.0,238.0
23.5,1.0,1.0,10.640216,1.152175,12.5606,13.5862,0.6251,7.5889,7.8424,3.0,218.0,249.0
17.0,1.0,0.8,11.075748,1.232008,12.4335,13.4877,0.6233,8.1587,8.8056,31.0,163.0,46.0
18.1,1.0,0.8,10.565019,1.130761,12.5042,13.5148,0.5465,8.6684,9.2517,150.0,64.0,161.0
10.4,1.0,0.0,7.824235,0.791035,12.58285,13.19,0.829615549662488,8.1407,8.728247772511848,7.0,0.0,0.0
42.9,1.0,1.0,10.183796,1.140597,13.2076,14.44,0.7201,6.5913,8.1812,188.0,248.0,126.0
19.5,1.0,0.6,11.910041,1.471467,14.156,14.982,0.43,7.454,8.155,0.0,0.0,0.0
4.3,1.0,0.0,7.519976,0.868305,12.7947,14.2253,0.5489,7.1662,7.2081,0.0,0.0,0.0
19.5,1.0,1.0,9.512296,1.152951,14.4874,14.636,0.345,7.0016,9.0406,0.0,0.0,0.0
30.0,1.0,0.8,9.981004,1.115033,13.2057,13.9138,0.5685,8.9953,9.0304,187.0,347.0,262.0
12.5,1.0,1.0,8.129717,0.934627,13.4559,14.1334,0.5702,6.933,7.7475,124.0,415.0,84.0
29.5,1.0,0.8,11.459746,1.248946,12.6309,13.5929,0.5461,8.562,9.0417,149.0,142.0,62.0
18.1,1.0,0.8,9.725397,1.123553,13.4568,14.1028,0.4028,7.5957,7.8314,150.0,54.0,167.0
14.0,1.0,0.5,6.068455,0.636342,12.3689,13.4465,0.6238,6.9999,7.9063,0.0,0.0,0.0
4.3,1.0,0.0,7.746638,0.888492,13.116,14.1517,0.6295,8.6726,8.9672,163.0,146.0,78.0
19.5,1.0,1.0,10.268232,1.232388,13.918,14.4646,0.351,7.3881,7.5096,0.0,0.0,0.0
30.0,1.0,0.8,9.114345,1.121936,13.8993,14.6948,0.33,7.5143,9.3137,189.0,347.0,212.0
18.1,1.0,0.8,11.118429,1.251908,12.8448,13.7267,0.4299,7.9868,8.2189,152.0,54.0,171.0
7.3,1.0,1.0,9.600677,1.114259,13.3555,14.5876,0.7122,3.2718,4.2489,178.0,182.0,162.0
19.5,1.0,1.0,9.857285,1.187408,13.9422,14.499,0.4334,7.3848,7.3848,0.0,0.0,0.0
30.0,1.0,0.8,8.826057,1.107461,14.0018,15.0941,0.3844,8.0001,8.7736,189.0,347.0,232.0
7.4,1.0,0.0,3.299909,0.347661,12.1558,12.7701,0.5111,8.9575,11.3085,0.0,0.0,0.0
20.5,1.0,0.0,11.129669,1.258088,12.7725,14.0989,0.5928,8.6627,8.7012,136.0,86.0,193.0
18.1,1.0,0.8,11.404539,1.247121,12.5258,13.6553,0.5808,7.6137,7.7068,152.0,54.0,171.0
14.3,1.0,1.5,9.878619,1.144361,12.9663,14.2515,0.4692,7.7081,9.2803,159.0,191.0,210.0
7.6,1.0,1.2,12.005699,1.287337,12.5048,13.3923,0.4651,8.5857,8.9618,111.0,268.0,182.0
